Context,Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Answer Key
"1 - يقدم ذوي الشأن أو من يمثلهم؛ طلب التسجيل العيني الأول، مرفقاً به المستندات المثبتة للحقوق العينية، ومنها على سبيل المثال:  أ- رقم وتاريخ الصك ومصدره.  ب- الوثائق التي تثبت الحقوق العينية -إن وجدت-.  ج- المستندات المتعلقة بالعقار من مخططات هندسية ورخص البناء والهدم، وضمانات البناء والتأمين ونحوها -إن وجدت-.  2- يشعر المتقدم برقم طلب التسجيل العيني الأول، متضمناً اليوم والتاريخ والوقت، بأي من الطرق المنصوص عليها في المادة (الخامسة) من اللائحة.  3- مع مراعاة الفقرة (3) من المادة (الثامنة) من النظام يتم القيام بأعمال المساحة المتعلقة بالعقار محل التسجيل.  4 - يتحقق المسجل العقاري من الاشتراطات والمستندات المتعلقة بالطلب، ويعتمد التسجيل العيني الأول.  5 - مع مراعاة المادة (الثالثة عشرة) من اللائحة، إذا كانت مساحة العقار في التسجيل العيني الأول أقل من المساحة المذكورة في صك العقار المقدم، فلا يعتمد التسجيل العيني الأول إلا بموافقة ذوي الشأن على النقص.  6 - تُصدِر الهيئة صك تسجيل الملكية بناء على السجل العقاري.",ما الإجراء المتبع في حال كانت مساحة العقار في التسجيل العيني الأول أقل من المساحة المذكورة في صك العقار المقدم؟,لا يعتمد التسجيل العيني الأول إلا بموافقة ذوي الشأن على النقص,يتم إلغاء طلب التسجيل العيني الأول,لا يعتمد التسجيل العيني الأول إلا بموافقة ذوي الشأن على النقص,يتم تعديل مساحة العقار في صك العقار المقدم لتتطابق مع مساحة العقار في التسجيل العيني الأول,يتم اعتماد التسجيل العيني الأول تلقائياً,1
لكل من تلقى حقاً من المدين الذي أحاطت ديونه بأمواله أن يتخلص من دعوى منع نفاذ التصرف إذا أودع عوض المثل لدى الجهة التي يحددها وزير العدل.,يمكن لمن تلقى حقاً من المدين الذي أحاطت ديونه بأمواله أن يتخلص من دعوى منع نفاذ التصرف إذا:,أودع عوض المثل لدى الجهة التي يحددها وزير العدل,أودع عوض المثل لدى الجهة التي يحددها وزير العدل,أودع عوض المثل لدى الدائنين مباشرة,أودع عوض المثل لدى المحكمة المختصة,قام بتسديد الديون كاملة للدائنين,0
لكل من تلقى حقاً من المدين الذي أحاطت ديونه بأمواله أن يتخلص من دعوى منع نفاذ التصرف إذا أودع عوض المثل لدى الجهة التي يحددها وزير العدل.,"في حالة إحاطة ديون المدين بأمواله، فإن من تلقى حقاً منه:",يمكنه التخلص من دعوى منع نفاذ التصرف بإيداع عوض المثل لدى الجهة المحددة,يمكنه التخلص من دعوى منع نفاذ التصرف بإيداع عوض المثل لدى الجهة المحددة,يمكنه التخلص من دعوى منع نفاذ التصرف بتسديد الديون كاملة للدائنين,لا يمكنه التخلص من دعوى منع نفاذ التصرف بأي حال,يمكنه التخلص من دعوى منع نفاذ التصرف بإيداع عوض المثل لدى المحكمة,0
"تصح هبة الشريك حصته في المال الشائع لشريكه أو لغيره عقاراً كان أو منقولاً، ولو كان الموهوب قابلاً للقسمة.",تصح هبة الشريك حصته في المال الشائع لشريكه أو لغيره:,"سواء كان المال الشائع عقاراً أو منقولاً، وحتى لو كان قابلاً للقسمة",لا تصح هبة الشريك حصته في المال الشائع مطلقاً,فقط إذا كان المال الشائع منقولاً غير قابل للقسمة,فقط إذا كان المال الشائع عقاراً غير قابل للقسمة,"سواء كان المال الشائع عقاراً أو منقولاً، وحتى لو كان قابلاً للقسمة",3
"تصح هبة الشريك حصته في المال الشائع لشريكه أو لغيره عقاراً كان أو منقولاً، ولو كان الموهوب قابلاً للقسمة.","وفقاً للمعلومات المقدمة، فإن هبة الشريك حصته في المال الشائع لشريكه أو لغيره:",تصح بغض النظر عن طبيعة المال الشائع وقابليته للقسمة,لا تصح أبداً لأن الهبة لا تجوز في المال الشائع,تصح فقط إذا كان المال الشائع عقاراً,تصح فقط إذا كان المال الشائع منقولاً,تصح بغض النظر عن طبيعة المال الشائع وقابليته للقسمة,3
"مع مراعاة ما تقضي به المادة (العاشرة) من هذا النظام، يشترط أن تتوافر في الحاضن الشروط الآتية:  1- كمال الأهلية.  2- القدرة على تربية المحضون وحفظه ورعايته.  3- السلامة من الأمراض المعدية الخطيرة.","وفقا للمادة العاشرة من نظام الحضانة، يشترط أن تتوافر في الحاضن:",كمال الأهلية والقدرة على تربية المحضون وحفظه ورعايته والسلامة من الأمراض المعدية الخطيرة,السلامة من الأمراض المعدية الخطيرة فقط,القدرة على تربية المحضون وحفظه ورعايته فقط,كمال الأهلية فقط,كمال الأهلية والقدرة على تربية المحضون وحفظه ورعايته والسلامة من الأمراض المعدية الخطيرة,3
"مع مراعاة ما تقضي به المادة (العاشرة) من هذا النظام، يشترط أن تتوافر في الحاضن الشروط الآتية:  1- كمال الأهلية.  2- القدرة على تربية المحضون وحفظه ورعايته.  3- السلامة من الأمراض المعدية الخطيرة.","بناء على المادة العاشرة من نظام الحضانة، لا يشترط في الحاضن أن يكون:",من نفس جنس المحضون,من نفس جنس المحضون,كامل الأهلية,قادرا على تربية المحضون وحفظه ورعايته,سليما من الأمراض المعدية الخطيرة,0
يبدأ العمل بهذه اللائحة بعد (تسعين) يوماً من تاريخ نشرها في الجريدة الرسمية.,متى يبدأ العمل بهذه اللائحة؟,بعد (تسعين) يوماً من تاريخ نشرها في الجريدة الرسمية,بعد (تسعين) يوماً من تاريخ نشرها في الجريدة الرسمية,فور نشرها في الجريدة الرسمية,بعد (مائة وعشرين) يوماً من تاريخ نشرها في الجريدة الرسمية,بعد (ستين) يوماً من تاريخ نشرها في الجريدة الرسمية,0
يبدأ العمل بهذه اللائحة بعد (تسعين) يوماً من تاريخ نشرها في الجريدة الرسمية.,أين سيتم نشر هذه اللائحة؟,في الجريدة الرسمية,في الصحف المحلية,في المواقع الإلكترونية الحكومية,في الجريدة الرسمية,في المجلات القانونية المتخصصة,2
"1- لعضو النيابة المختص بالتحقيق أن يُجري التفتيش بنفسه، وله أن يندب أحد رجال الضبط الجنائي المختصين لإجرائه. ولا يُشترط لإصدار أمر الندب أن يسبقه تحقيق، ولا أن يُعيَّن في أمر الندب اسم رجل الضبط الجنائي المنتدب لإجرائه. وفي هذه الحال يجوز لأي رجل ضبط جنائي مختص أن يقوم بإجرائه. وإذا نُص فيه على تعيين اسم رجل ضبط معين فلا يجوز لغيره القيام به.  2 - لا يجوز تنفيذ الأمر أو الإذن بالتفتيش بعد مضي المدة المحددة فيه.  3 - لا يبيح الأمر أو الإذن الصادر بالتفتيش إجراءه إلا مرة واحدة. وإذا طرأ ما يستدعي إعادة التفتيش وجب استصدار أمرٍ أو إذنٍ جديد، وتكون الأسباب والتحريات السابقة كافية ومنتجة لأثرها.  4 - على منفذ أمر التفتيش قبل دخول المسكن أن يُعلم صاحب المسكن - أو من ينوب عنه- عن شخصيته وقصده، وأن يطلعه على أمر التفتيش، ويجب أن يكون الدخول من الباب ما أمكن ذلك وفق تقدير منفذ الأمر.  5 - لا يجوز أن يفتَش غير المتهم؛ ما لم تقم دلائل كافية على اشتراك هذا الغير في الجريمة التي بخصوصها صدر إذن التفتيش.  6 - إذا جاز - استناداً إلى المادة (الثانية والأربعين) من النظام - دخول المسكن لإجراء معين فلا يجوز القيام بأي إجراء آخر، إلا بموجب أحكام النظام واللائحة.",من له صلاحية إجراء التفتيش بنفسه؟,عضو النيابة المختص بالتحقيق,صاحب المسكن أو من ينوب عنه,رجال الضبط الجنائي فقط,عضو النيابة المختص بالتحقيق,أي شخص يندبه عضو النيابة,2
